NR.,Vulnerable Smart Contract,Vulnerability/Bug,Analyzed (Solidity only),Unchecked-send bug,Re-entrancy,Mishandled Exceptions,tx.origin usage,Block timestamp,ToD,Integer Overflow/Underflow,Gas costly patterns,this. on local calls,Constant functions,Similar variable names,Additional info,SC Compiler version
52,GovernMental (PonziGovernmental),"Unchecked-send bug, Call-stack limit",Yes ,7,1,X,X,1,X,1,X,X,4,X,,0.2.1-2016-01-30-91a6b35
53,GovernMental simplified sample 0.3.1,"Immutable bugs, exception disorder, call-stack limit, unpredictable state ",Yes ,2,X,1,X,1,X,1,1,X,X,X,,0.3.1
54,Rubixi ,"Immutable bugs, wrong constructor name",Yes ,4,1,1,X,X,X,1,X,X,X,X,,0.2.1-2016-01-30-91a6b35
55,FirePonzi,Type casts (intentional scam),Yes ,3,1,1,X,1,X,1,1,X,X,4,,0.3.1-2016-04-07-054bc2a
56,Parity Multisig,Unintended function exposure,Yes ,X,1,1,X,1,X,X,1,X,3,19,"Use of call - 1 , Use of delegatecall - 3",0.4.6
57,GoodFellas,Typo (wrong constructor name),Yes ,4,1,X,X,X,X,X,X,X,X,X,,0.2.1-2016-01-30-91a6b35
58,StackyGame,Typo (wrong constructor name),Yes ,3,1,1,X,1,X,1,X,X,X,X,,0.3.1-2016-04-12-3ad5e82
59,DynamicPyramid,Contract that do not refund,Yes ,4,1,1,X,1,X,1,X,X,X,X,,0.2.1-2016-01-30-91a6b35
60,GreedPit,Contract that do not refund,Yes ,5,1,X,X,1,X,1,X,X,1,6,,0.3.0-2016-03-11-1f9578c
61,NanoPyramid,Contract that do not refund,Yes ,3,X,1,X,1,X,1,1,X,X,7,Use of call - 1,0.3.1-2016-04-12-3ad5e82
62,Tomeka,Contract that do not refund,Yes ,4,1,X,X,1,X,1,1,X,X,X,,0.2.1-2016-01-30-91a6b35
63,ProtectTheCastle,"Call-stack limit, Withdraw option",Yes ,13,1,1,X,1,X,1,X,X,X,X,,0.3.1-2016-04-12-3ad5e82
64,RockPaperScissors (RPS),Public moves,Yes ,7,1,X,X,1,X,1,1,X,X,X,,0.3.1-2016-04-12-3ad5e82
65,SmartBillions,Blockhash bug,Yes ,X,1,1,X,1,X,X,1,X,3,7,,^0.4.13;
66,EtherPot,Unchecked-send bug,Yes ,2,1,1,X,X,X,1,1,X,2,X,,0.4.3
67,TheRun,Timestamp dependence,Yes ,6,1,1,X,1,X,1,1,X,1,1,,Not known
68,OddsAndEvents Compiler 0.3.1 Sample,Keeping secrets,Yes ,3,1,1,X,1,X,1,X,X,X,X,,0.3.1
69,OddsAndEvents Compiler 0.4.2 Sample,Keeping secrets,Yes ,3,X,1,X,X,X,1,1,X,X,X,,0.4.2
70,SimpleDao Sample compiler version 0.3.1,"Re-entrancy, call to the unkown",Yes ,X,1,1,X,1,X,1,1,X,1,X,Use of call - 1,0.3.1
71,SimpleDao Sample compiler version 0.4.2,"Re-entrancy, call to the unkown",Yes ,2,1,1,X,X,X,1,X,X,3,X,,0.4.2
72,King of the Ether game (KoET),"Unchecked-send bug, Gasless send, Mishandled exception",Yes ,4,1,1,X,1,X,X,1,X,X,X,,0.2.1-fad2d4df
73,KotET Sample compiler version 0.3.1,Gasless send,Yes ,2,1,1,X,X,X,1,X,X,2,X,,0.3.1
74,KotET Sample compiler version 0.4.2,Gasless send,Yes ,2,X,1,X,1,X,X,1,X,2,X,,0.4.2
75,GovernMental (PonziGovernmental),"Unchecked-send bug, Call-stack limit",Yes ,7,1,X,X,1,X,1,1,X,4,X,,0.2.1-2016-01-30-91a6b35
76,GovernMental simplified sample 0.3.1,"Immutable bugs, exception disorder, call-stack limit, unpredictable state ",Yes ,2,X,1,X,1,X,1,X,X,X,X,,0.3.1
77,Rubixi ,"Immutable bugs, wrong constructor name",Yes ,4,1,1,X,1,X,1,X,X,X,X,,0.2.1-2016-01-30-91a6b35
78,FirePonzi,Type casts (intentional scam),Yes ,3,1,1,X,X,X,1,1,X,X,4,,0.3.1-2016-04-07-054bc2a
79,Parity Multisig,Unintended function exposure,Yes ,X,1,1,X,1,X,1,1,X,3,19,"Use of call - 1 , Use of delegatecall - 3",0.4.6
80,GoodFellas,Typo (wrong constructor name),Yes ,4,1,X,X,X,X,X,1,X,X,X,,0.2.1-2016-01-30-91a6b35
81,StackyGame,Typo (wrong constructor name),Yes ,3,1,1,X,1,X,1,X,X,X,X,,0.3.1-2016-04-12-3ad5e82
82,DynamicPyramid,Contract that do not refund,Yes ,4,1,1,X,1,X,1,1,X,X,X,,0.2.1-2016-01-30-91a6b35
83,GreedPit,Contract that do not refund,Yes ,5,1,X,X,1,X,1,X,X,1,6,,0.3.0-2016-03-11-1f9578c
84,NanoPyramid,Contract that do not refund,Yes ,3,X,1,X,1,X,1,1,X,X,7,Use of call - 1,0.3.1-2016-04-12-3ad5e82
85,Tomeka,Contract that do not refund,Yes ,4,1,X,X,1,X,1,1,X,X,X,,0.2.1-2016-01-30-91a6b35
86,ProtectTheCastle,"Call-stack limit, Withdraw option",Yes ,13,X,1,X,1,X,X,X,X,X,X,,0.3.1-2016-04-12-3ad5e82
87,RockPaperScissors (RPS),Public moves,Yes ,7,1,X,X,1,X,1,1,X,X,X,,0.3.1-2016-04-12-3ad5e82
88,SmartBillions,Blockhash bug,Yes ,X,1,1,X,1,X,1,1,X,3,7,,^0.4.13;
89,EtherPot,Unchecked-send bug,Yes ,2,1,1,X,1,X,1,X,X,2,X,,0.4.3
90,TheRun,Timestamp dependence,Yes ,6,1,1,X,1,X,1,1,X,1,1,,Not known
91,OddsAndEvents Compiler 0.3.1 Sample,Keeping secrets,Yes ,3,1,1,X,X,X,1,X,X,X,X,,0.3.1
92,OddsAndEvents Compiler 0.4.2 Sample,Keeping secrets,Yes ,3,X,1,X,1,X,1,1,X,X,X,,0.4.2
93,SimpleDao Sample compiler version 0.3.1,"Re-entrancy, call to the unkown",Yes ,X,X,1,X,X,X,1,X,X,1,X,Use of call - 1,0.3.1
94,SimpleDao Sample compiler version 0.4.2,"Re-entrancy, call to the unkown",Yes ,2,1,1,X,X,X,1,1,X,3,X,,0.4.2
95,King of the Ether game (KoET),"Unchecked-send bug, Gasless send, Mishandled exception",Yes ,4,1,1,X,1,X,1,X,X,X,X,,0.2.1-fad2d4df
96,KotET Sample compiler version 0.3.1,Gasless send,Yes ,2,1,1,X,X,X,1,1,X,2,X,,0.3.1
97,KotET Sample compiler version 0.4.2,Gasless send,Yes ,2,X,1,X,1,X,X,1,X,2,X,,0.4.2
98,GovernMental (PonziGovernmental),"Unchecked-send bug, Call-stack limit",Yes ,7,1,X,X,1,X,X,1,X,4,X,,0.2.1-2016-01-30-91a6b35
99,GovernMental simplified sample 0.3.1,"Immutable bugs, exception disorder, call-stack limit, unpredictable state ",Yes ,2,X,1,X,1,X,1,X,X,X,X,,0.3.1
100,Rubixi ,"Immutable bugs, wrong constructor name",Yes ,4,X,1,X,X,X,1,X,X,X,X,,0.2.1-2016-01-30-91a6b35
101,FirePonzi,Type casts (intentional scam),Yes ,3,1,1,X,1,X,1,X,X,X,4,,0.3.1-2016-04-07-054bc2a
102,Parity Multisig,Unintended function exposure,Yes ,X,1,1,X,1,X,1,X,X,3,19,"Use of call - 1 , Use of delegatecall - 3",0.4.6
103,GoodFellas,Typo (wrong constructor name),Yes ,4,1,X,X,X,X,X,1,X,X,X,,0.2.1-2016-01-30-91a6b35
104,StackyGame,Typo (wrong constructor name),Yes ,3,1,1,X,1,X,1,X,X,X,X,,0.3.1-2016-04-12-3ad5e82
105,DynamicPyramid,Contract that do not refund,Yes ,4,1,1,X,1,X,1,1,X,X,X,,0.2.1-2016-01-30-91a6b35
106,GreedPit,Contract that do not refund,Yes ,5,1,X,X,1,X,1,1,X,1,6,,0.3.0-2016-03-11-1f9578c
107,NanoPyramid,Contract that do not refund,Yes ,3,X,1,X,X,X,1,X,X,X,7,Use of call - 1,0.3.1-2016-04-12-3ad5e82
108,Tomeka,Contract that do not refund,Yes ,4,1,X,X,1,X,1,1,X,X,X,,0.2.1-2016-01-30-91a6b35
109,ProtectTheCastle,"Call-stack limit, Withdraw option",Yes ,13,X,1,X,1,X,X,X,X,X,X,,0.3.1-2016-04-12-3ad5e82
110,RockPaperScissors (RPS),Public moves,Yes ,7,1,X,X,1,X,1,1,X,X,X,,0.3.1-2016-04-12-3ad5e82
111,SmartBillions,Blockhash bug,Yes ,X,1,1,X,1,X,1,X,X,3,7,,^0.4.13;
112,EtherPot,Unchecked-send bug,Yes ,2,1,1,X,X,X,1,X,X,2,X,,0.4.3
113,TheRun,Timestamp dependence,Yes ,6,1,1,X,1,X,X,1,X,1,1,,Not known
114,OddsAndEvents Compiler 0.3.1 Sample,Keeping secrets,Yes ,3,1,1,X,X,X,1,X,X,X,X,,0.3.1
115,OddsAndEvents Compiler 0.4.2 Sample,Keeping secrets,Yes ,3,1,1,X,X,X,1,X,X,X,X,,0.4.2
116,SimpleDao Sample compiler version 0.3.1,"Re-entrancy, call to the unkown",Yes ,X,X,1,X,1,X,1,1,X,1,X,Use of call - 1,0.3.1
117,SimpleDao Sample compiler version 0.4.2,"Re-entrancy, call to the unkown",Yes ,2,1,1,X,1,X,1,X,X,3,X,,0.4.2
118,King of the Ether game (KoET),"Unchecked-send bug, Gasless send, Mishandled exception",Yes ,4,1,1,X,1,X,1,X,X,X,X,,0.2.1-fad2d4df
119,KotET Sample compiler version 0.3.1,Gasless send,Yes ,2,1,1,X,X,X,1,X,X,2,X,,0.3.1
120,KotET Sample compiler version 0.4.2,Gasless send,Yes ,2,X,1,X,X,X,X,1,X,2,X,,0.4.2
121,GovernMental (PonziGovernmental),"Unchecked-send bug, Call-stack limit",Yes ,7,1,X,X,1,X,1,X,X,4,X,,0.2.1-2016-01-30-91a6b35
122,GovernMental simplified sample 0.3.1,"Immutable bugs, exception disorder, call-stack limit, unpredictable state ",Yes ,2,1,1,X,1,X,1,1,X,X,X,,0.3.1
123,Rubixi ,"Immutable bugs, wrong constructor name",Yes ,4,X,1,X,X,X,1,X,X,X,X,,0.2.1-2016-01-30-91a6b35
124,FirePonzi,Type casts (intentional scam),Yes ,3,1,1,X,1,X,1,X,X,X,4,,0.3.1-2016-04-07-054bc2a
125,Parity Multisig,Unintended function exposure,Yes ,X,1,1,X,1,X,1,X,X,3,19,"Use of call - 1 , Use of delegatecall - 3",0.4.6
126,GoodFellas,Typo (wrong constructor name),Yes ,4,1,X,X,X,X,1,1,X,X,X,,0.2.1-2016-01-30-91a6b35
127,StackyGame,Typo (wrong constructor name),Yes ,3,1,1,X,1,X,X,X,X,X,X,,0.3.1-2016-04-12-3ad5e82
128,DynamicPyramid,Contract that do not refund,Yes ,4,1,1,X,1,X,1,1,X,X,X,,0.2.1-2016-01-30-91a6b35
129,GreedPit,Contract that do not refund,Yes ,5,1,X,X,1,X,1,X,X,1,6,,0.3.0-2016-03-11-1f9578c
130,NanoPyramid,Contract that do not refund,Yes ,3,X,1,X,X,X,1,1,X,X,7,Use of call - 1,0.3.1-2016-04-12-3ad5e82
131,Tomeka,Contract that do not refund,Yes ,4,1,X,X,1,X,1,X,X,X,X,,0.2.1-2016-01-30-91a6b35
132,ProtectTheCastle,"Call-stack limit, Withdraw option",Yes ,13,X,1,X,1,X,X,X,X,X,X,,0.3.1-2016-04-12-3ad5e82
133,RockPaperScissors (RPS),Public moves,Yes ,7,1,X,X,1,X,1,X,X,X,X,,0.3.1-2016-04-12-3ad5e82
134,SmartBillions,Blockhash bug,Yes ,X,1,1,X,1,X,1,X,X,3,7,,^0.4.13;
135,EtherPot,Unchecked-send bug,Yes ,2,1,1,X,X,X,1,1,X,2,X,,0.4.3
